mode, top_cut, ratio, title, link, score
mean_pooling, warm jacket, 2, 0.2, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06900914742199046
mean_pooling, warm jacket, 2, 0.2, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.06941202455546644
mean_pooling, warm jacket, 2, 0.2, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.06957435698750876
mean_pooling, warm jacket, 2, 0.2, Pathfinder Lite Chair, https://www.cotswoldoutdoor.com/p/robens-pathfinder-lite-chair-D3114081.html, 0.06973960555785651
mean_pooling, warm jacket, 2, 0.2, Mens Trembler Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-trembler-jacket-A1724342.html, 0.07094427859701702
mean_pooling, warm jacket, 2, 0.2, Mens Nexus Jacket, https://www.cotswoldoutdoor.com/p/rab-mens-nexus-jacket-A1714188.html, 0.07211968997670393
mean_pooling, warm jacket, 2, 0.30000000000000004, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.06391167270827583
mean_pooling, warm jacket, 2, 0.30000000000000004, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.06470389918639964
mean_pooling, warm jacket, 2, 0.30000000000000004, Mens Fleet Jacket, https://www.cotswoldoutdoor.com/p/montane-mens-fleet-jacket-A1115070.html, 0.0650599182309518
mean_pooling, warm jacket, 2, 0.30000000000000004, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06734498337158351
mean_pooling, warm jacket, 2, 0.30000000000000004, Pathfinder Lite Chair, https://www.cotswoldoutdoor.com/p/robens-pathfinder-lite-chair-D3114081.html, 0.06925353254240477
mean_pooling, warm jacket, 2, 0.30000000000000004, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.07027235276959298
mean_pooling, warm jacket, 2, 0.30000000000000004, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.07109533519174126
mean_pooling, warm jacket, 2, 0.30000000000000004, Mens Trembler Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-trembler-jacket-A1724342.html, 0.07113604209073349
